celltype	marker	expression	gene_name	comment	ensg_id	gene_description
basophil	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
classical monocyte	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
eosinophil	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
gdTCR	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
intermediate monocyte	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
MAIT T-cell	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
myeloid DC	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
memory B-cell	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
memory CD4 T-cell	CD45RA	-	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
memory CD8 T-cell	CD45RA	-	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
naive B-cell	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
naive CD4 T-cell	CD45RA	+	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
naive CD8 T-cell	CD45RA	+	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
neutrophil	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
NK-cell	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
non-classical monocyte	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
plasmacytoid DC	CD45RA	NA	PTPRC		ENSG00000081237	"protein tyrosine phosphatase, receptor type C"
